acc max,nombre_cycles
0.259846,64.05940252172527
0.176435,53.0485205675471
0.182846,41.16588507270187
0.200531,52.269663147838955
0.253145,29.597726559246766
0.197964,48.17077411114498
0.434934,22.548396470358146
0.300777,37.41854701774204
0.200707,16.06491889443691
0.305775,56.15885580316452
0.475284,23.336214338480968
0.342739,23.91985012270095
0.279168,46.79305474603232
0.189389,73.18710964159408
0.119962,31.581658487414277
0.198036,47.88287116310477
0.175171,55.408686660751286
0.150325,57.66101488231389
1.78896,27.469418958116197
1.45353,45.8261897592284
0.627748,60.43708690373968
1.05173,88.63651466263327
1.35835,37.786398522975304
0.491233,87.2660844381289
0.0727759,37.65300533974622
0.379997,48.24486467067287
0.220554,24.68456161193637
0.934284,23.829574308414905
0.19502,72.79969880591332
0.404361,36.14478505471435
0.417503,46.15028829014156
0.336023,50.667515098525
1.43637,24.359887088565106
1.64762,11.914796211805797
0.748236,11.961853223642976
0.922828,13.209132070025543
0.133588,44.18068585243082
0.186156,35.056982277250356
0.140497,29.00693377485921
0.550384,46.141986248654625
0.0389889,65.96989342886468
0.268954,62.174479793615646
0.564154,50.81697494339451
0.246258,38.00311507113769
1.77022,26.55219995644393
2.21135,33.74943469053764
1.06441,44.281733383359054
0.0449918,34.17224025138306
0.0510537,40.55118235666139
0.0427721,26.121071947719074
0.465003,51.395629604588265
0.454855,57.24055851153912
0.351219,36.90846985106423
2.2672,51.507835343651756
2.27554,30.929922804273765
1.5668,42.233812616820046
2.80817,41.245296471738826
1.85024,31.19499463063418
2.42352,45.501072817055295
3.64135,30.25653207621487
1.88517,37.38121006186384
0.423269,40.99009674543959
0.661671,30.23990514892586
0.30214,76.60467556475007
2.25925,32.33263568035389
2.37663,37.94989077000307
0.588306,27.24227662912391
0.756997,66.64616148485574
2.47822,41.30213067299009
2.73168,25.6652198683202
0.515769,65.7489231357711
0.827339,52.870232814929444
0.750521,77.38412174908531
0.274582,208.05513380866122
0.100139,35.59092113645872
0.110889,20.097351678509114
0.0881288,47.84662288006909
6.01238,14.130766092904317
1.42004,51.618371603241194
1.64613,51.20743082186363
0.746094,10.068006542442477
