distance,nombre_cycles
407.458,64.05940252172527
407.458,53.0485205675471
407.458,41.16588507270187
435.864,52.269663147838955
435.864,29.597726559246766
435.864,48.17077411114498
471.052,22.548396470358146
471.052,37.41854701774204
471.052,16.06491889443691
414.616,56.15885580316452
414.616,23.336214338480968
414.616,23.91985012270095
450.325,46.79305474603232
450.325,73.18710964159408
450.325,31.581658487414277
471.219,47.88287116310477
471.219,55.408686660751286
471.219,57.66101488231389
516.623,27.469418958116197
516.623,45.8261897592284
516.623,60.43708690373968
614.134,88.63651466263327
614.134,37.786398522975304
614.134,87.2660844381289
683.088,37.65300533974622
331.457,48.24486467067287
427.539,24.68456161193637
250.611,23.829574308414905
477.885,72.79969880591332
544.391,36.14478505471435
544.391,46.15028829014156
544.391,50.667515098525
189.520,24.359887088565106
189.520,11.914796211805797
189.520,11.961853223642976
189.520,13.209132070025543
549.168,44.18068585243082
549.168,35.056982277250356
549.168,29.00693377485921
284.576,46.141986248654625
701.912,65.96989342886468
543.081,62.174479793615646
543.081,50.81697494339451
543.081,38.00311507113769
222.426,26.55219995644393
222.426,33.74943469053764
222.426,44.281733383359054
715.002,34.17224025138306
715.002,40.55118235666139
715.002,26.121071947719074
426.653,51.395629604588265
426.653,57.24055851153912
426.653,36.90846985106423
108.586,51.507835343651756
108.586,30.929922804273765
108.586,42.233812616820046
145.297,41.245296471738826
183.685,31.19499463063418
430.490,45.501072817055295
430.490,30.25653207621487
430.490,37.38121006186384
429.329,40.99009674543959
429.329,30.23990514892586
429.329,76.60467556475007
460.585,32.33263568035389
460.585,37.94989077000307
460.585,27.24227662912391
199.129,66.64616148485574
518.310,41.30213067299009
518.310,25.6652198683202
518.310,65.7489231357711
629.179,52.870232814929444
629.179,77.38412174908531
629.179,208.05513380866122
511.446,35.59092113645872
511.446,20.097351678509114
511.446,47.84662288006909
132.860,14.130766092904317
378.304,51.618371603241194
378.304,51.20743082186363
378.304,10.068006542442477
